google,youtube,youtubeComments
0,0,0
11,9,0
21,17,0
23,21,0
36,35,0
55,48,0
52,46,0
55,49,0
60,51,0
78,64,0
83,79,0
99,91,0
94,92,0
94,95,0
100,100,0
98,99,0
92,96,0
88,84,0
86,82,0
85,83,0
81,75,0
76,68,0
68,64,0
65,61,0
65,57,0
60,52,0
55,50,0
52,47,0
50,43,0
48,41,0
44,41,0
41,38,0
38,35,0
37,33,0
33,31,0
31,28,0
31,27,0
28,25,0
29,25,0
26,23,0
25,22,0
23,21,0
23,21,0
22,20,0
22,20,0
27,23,0
20,19,0
19,19,0
18,19,0
18,18,0
18,17,0
17,17,0
17,16,0
