google,youtube,youtubeComments
0,0,0
88,77,0
100,98,0
87,98,0
79,100,0
70,92,0
67,82,0
67,79,0
61,72,0
56,66,0
54,63,0
49,58,0
46,52,0
44,49,0
41,45,0
38,42,0
36,39,0
35,35,0
32,32,0
29,30,0
28,29,0
26,27,0
24,27,0
24,26,0
22,25,0
21,23,0
19,22,0
19,23,0
20,23,0
18,20,0
16,19,0
16,18,0
16,18,0
15,17,0
14,16,0
13,16,0
14,16,0
13,15,0
14,15,0
15,15,0
13,15,0
13,14,0
13,14,0
12,14,0
12,13,0
11,13,0
12,13,0
11,13,0
11,13,0
11,11,0
0,0,0
0,0,0
0,0,0
